0 |[(9, 1), (10, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
00255 |[(15, 1)]|
00318 |[(14, 1)]|
007_et_l_me_h |[(10, 1)]|
02 |[(12, 1)]|
08 |[(13, 1)]|
1 |[(0, 1), (1, 1), (2, 1), (4, 1), (6, 1), (10, 1), (11, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
10 |[(10, 1), (11, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
100 |[(4, 1), (6, 1), (10, 1)]|
11 |[(6, 1), (10, 1), (12, 1), (13, 1), (16, 1)]|
115 |[(10, 1)]|
12 |[(12, 1), (13, 1)]|
120 |[(0, 1), (1, 1), (2, 1)]|
128x128 |[(7, 1)]|
1300 |[(13, 1)]|
131 |[(10, 1)]|
14 |[(14, 1), (15, 1), (16, 1), (17, 1), (18, 1)]|
15 |[(10, 1)]|
150000 |[(10, 1)]|
16 |[(14, 1), (15, 1), (17, 1), (18, 1)]|
180 |[(10, 1)]|
185 |[(10, 1)]|
199 |[(16, 1)]|
1998 |[(16, 1)]|
1999 |[(11, 1)]|
2 |[(0, 1), (1, 1), (2, 1), (6, 1), (10, 1), (11, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
20 |[(10, 1), (13, 1)]|
2000 |[(7, 1)]|
2001 |[(16, 1)]|
2003 |[(16, 1)]|
2004 |[(4, 1)]|
2005 |[(4, 1)]|
2006 |[(4, 1), (5, 1), (6, 1), (7, 1), (8, 1)]|
2013 |[(10, 1), (12, 1), (13, 1)]|
2014 |[(10, 1), (13, 1)]|
2015 |[(12, 1)]|
211 |[(12, 1)]|
213 |[(13, 1)]|
225 |[(12, 1)]|
23 |[(12, 1)]|
231 |[(4, 1)]|
24 |[(12, 1), (13, 1)]|
240 |[(4, 1)]|
25 |[(16, 1)]|
25th |[(4, 1), (6, 1)]|
270 |[(10, 1)]|
28 |[(11, 1)]|
2k |[(14, 1), (15, 1), (17, 1), (18, 1)]|
3 |[(0, 1), (1, 1), (2, 1), (4, 1), (6, 1), (10, 1), (11, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
30 |[(10, 1)]|
300 |[(10, 1)]|
31 |[(10, 1)]|
3110 |[(10, 1)]|
33 |[(4, 1), (6, 1)]|
360 |[(13, 1)]|
37730 |[(10, 1)]|
397 |[(10, 1)]|
4 |[(10, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
42939 |[(13, 1)]|
46 |[(10, 1), (12, 1)]|
460 |[(10, 1)]|
462 |[(10, 1)]|
472 |[(16, 1)]|
477 |[(10, 1)]|
48 |[(13, 1)]|
49 |[(12, 1)]|
5 |[(6, 1), (10, 1), (11, 1), (13, 1), (16, 1)]|
5000 |[(11, 1)]|
51 |[(10, 1), (16, 1)]|
52 |[(16, 1)]|
53 |[(14, 1), (15, 1), (17, 1), (18, 1)]|
571 |[(13, 1)]|
58509 |[(12, 1)]|
5v |[(10, 1)]|
6 |[(0, 1), (1, 1), (2, 1), (10, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
60 |[(10, 1), (13, 1), (16, 1)]|
61516 |[(12, 1)]|
64x64 |[(7, 1)]|
6pm |[(0, 1), (1, 1), (2, 1)]|
6th |[(4, 1)]|
7 |[(11, 1), (13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
76606 |[(11, 1)]|
77 |[(4, 1), (6, 1)]|
7pm |[(0, 1), (1, 1), (2, 1)]|
8 |[(10, 1)]|
80 |[(13, 1), (14, 1), (15, 1), (17, 1), (18, 1)]|
9 |[(13, 1)]|
931 |[(13, 1)]|
96 |[(10, 1)]|
989818 |[(11, 1)]|
99 |[(16, 1)]|
a |[(0, 1), (1, 1), (2, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
abdelwah |[(4, 1), (6, 1)]|
about |[(0, 1), (1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
abov |[(6, 1)]|
abstract |[(6, 1), (10, 1), (11, 1), (12, 1), (13, 1)]|
academia |[(0, 1), (1, 1), (2, 1)]|
accord |[(6, 1), (13, 1)]|
ace |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
acquir |[(10, 1), (13, 1)]|
actual |[(13, 1)]|
actuat |[(10, 1)]|
ada |[(16, 1)]|
adapt |[(10, 1)]|
addit |[(10, 1)]|
address |[(16, 1)]|
administr |[(11, 1)]|
admiss |[(16, 1)]|
advisor |[(0, 1), (1, 1), (2, 1)]|
after |[(10, 1)]|
agar |[(13, 1)]|
age |[(16, 1)]|
ahb |[(7, 1)]|
ai |[(0, 1), (1, 1), (2, 1)]|
aiatuci |[(0, 1), (1, 1), (2, 1)]|
air |[(10, 1), (11, 1)]|
al |[(13, 1)]|
alderi |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
alderis_1 |[(9, 1)]|
alderis_examples_1 |[(9, 1)]|
alderson |[(0, 1), (1, 1), (2, 1)]|
alexand |[(0, 1), (1, 1), (2, 1), (10, 1), (12, 1)]|
algorithm |[(16, 1)]|
all |[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (16, 1)]|
allow |[(5, 1), (7, 1), (8, 1)]|
almuni |[(0, 1), (1, 1), (2, 1)]|
along |[(10, 1)]|
also |[(3, 1), (5, 1), (8, 1), (10, 1)]|
altogeth |[(13, 1)]|
am |[(12, 1)]|
amba |[(3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]|
ambigu |[(7, 1)]|
ami |[(0, 1), (1, 1), (2, 1)]|
among |[(0, 1), (1, 1), (2, 1), (13, 1), (16, 1)]|
amount |[(16, 1)]|
